name,layer,gateway_type,lat,lon
"Panaca, NV",North America,gateway,37.7836389,-114.6926944
"Passa Quatro, BR",South America,gateway,-22.34929,-44.94544
"Pe??uelas, MX",North America,gateway,21.73139,-102.27531
"Perry, FL",North America,gateway,30.061583,-83.580528
"Petra Jaya, MY",APAC,gateway,1.606503,110.340002
"Phoenix, AZ - The X GW",North America,gateway,33.684056,-112.09825
"Pimba, SA, AU (GSN#3023)",APAC,gateway,-31.2507,136.80107
"Piura, PE | Mega",South America,gateway,-5.159689,-80.687549
"Plana, BG",Europe,gateway,42.482909,23.44491
"Ponce, PR",North America,gateway,18.06197778,-66.54783611
