name,layer,gateway_type,lat,lon
"Virginia Beach, VA - The Lil b GW",North America,gateway,36.783806,-76.009278
"Wagin, WA, AU (GSN#3002)",APAC,gateway,-33.30829,117.34339
"Waipara, NZ | Mega",APAC,gateway,-43.063767,172.747443
"Wamena, ID",Community Gateways,community_gateway,-4.095558,138.942714
"Warra, QLD, AU",APAC,gateway,-26.9079883,150.8916042
"Warren, MO",North America,gateway,38.6351667,-91.1160278
"Watkins, CO - The Solar GW",North America,gateway,39.75825,-104.617028
"Watonwan, MN - the La Salle GW | Mega",North America,gateway,44.051506,-94.534614
"Weehawken, NJ - The Cake Boss GW",North America,gateway,40.761611,-74.025278
"Wellington, UT - The Utah Jazz GW",North America,gateway,39.540083,-110.692833
"Wellington, VA - East Coast Bestest GW",North America,gateway,38.777056,-77.546583
"West Footscray, VIC, AU | Mega",APAC,gateway,-37.803925,144.8644
"West Jordan, UT - The Eye of Sauron GW",North America,gateway,40.61975,-111.986333
Westbury NY - Take Me Home GW,North America,gateway,40.755856,-73.55785
"Wherstead, UK",Europe,gateway,52.019224,1.14354
"Wichita Falls, TX",North America,gateway,33.85225,-98.60411111
"Willemstad, CW",North America,gateway,12.097686,-68.908109
"Willows. QLD, AU",APAC,gateway,-23.66665,147.5025
"Wise, NC",North America,gateway,36.47114,-78.17313
"Wise, VA - The Wise GW",North America,gateway,36.977333,-82.528
"Wola Krobowska, PL",Europe,gateway,51.86417,20.92105
"Woodville, NZ | Mega",APAC,gateway,-40.352083,175.866806
"Woodwalton, UK",Europe,gateway,52.404967,-0.219117
"Yamaguchi, JP",APAC,gateway,34.2171,131.55566
"York, PA | Mega",North America,gateway,39.9691111,-76.7230278
