OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-6243,2023-088AJ,2025-10-27T12:33:18.735264,15.02532653,.00011596,43.0031,98.4331,269.5306,90.5403,0,U,57080,999,13031,.7276511E-5,-.105E-5,0
STARLINK-6184,2023-088AK,2025-10-27T18:30:38.476224,15.02538781,.00011048,43.0022,96.8524,273.1959,86.8757,0,U,57081,999,13052,.39882181E-4,.335E-5,0
STARLINK-6248,2023-088AL,2025-10-27T20:15:57.937248,15.02536421,.0001266,43.0039,96.5420,270.0833,89.9864,0,U,57082,999,13053,.97112865E-4,.1108E-4,0
STARLINK-6253,2023-088AM,2025-10-27T10:20:48.929568,15.02538239,.00012353,43.0031,98.5968,270.6426,89.4275,0,U,57083,999,13047,.28039325E-4,.175E-5,0
STARLINK-6240,2023-088AN,2025-10-27T10:33:36.170208,15.02536988,.00012964,43.0040,98.6652,267.0997,92.9697,0,U,57084,999,13047,.52553125E-4,.506E-5,0
STARLINK-6232,2023-088AP,2025-10-27T19:48:48.377088,15.02548048,.00013078,43.0034,96.3969,264.7158,95.3536,0,U,57085,999,13053,.95466522E-4,.1087E-4,0
STARLINK-6247,2023-088AQ,2025-10-27T20:03:10.857312,15.02535738,.00012233,43.0029,96.4732,267.6596,92.4106,0,U,57086,999,13053,.26572885E-4,.155E-5,0
STARLINK-6251,2023-088AR,2025-10-27T19:44:01.243968,15.02537299,.00011844,43.0030,96.3730,275.8147,84.2560,0,U,57087,999,13053,.17935765E-3,.222E-4,0
STARLINK-6257,2023-088AS,2025-10-27T19:58:22.744416,15.02536778,.00011259,43.0031,96.4481,267.8790,92.1923,0,U,57088,999,13053,.57055445E-4,.567E-5,0
STARLINK-6259,2023-088AT,2025-10-27T17:53:53.413440,15.02533919,.00013882,43.0026,96.6550,272.2394,87.8289,0,U,57089,999,13052,-.57216202E-4,-.976E-5,0
STARLINK-6254,2023-088AU,2025-10-27T19:42:24.058656,15.02534829,.00012589,43.0034,96.3658,266.9156,93.1543,0,U,57090,999,13053,.64636324E-4,.67E-5,0
STARLINK-6262,2023-088AV,2025-10-27T17:58:40.419552,15.02541822,.00011915,43.0036,96.6814,275.6335,84.4371,0,U,57091,999,13052,.11193081E-3,.1309E-4,0
STARLINK-6225,2023-088AW,2025-10-27T19:37:34.718880,15.02552288,.00011152,43.0033,96.3368,270.6921,89.3793,0,U,57092,999,13053,.1566308E-3,.1914E-4,0
STARLINK-6229,2023-088AX,2025-10-27T17:49:05.789568,15.02553980,.00014882,43.0025,96.6297,271.5185,88.5487,0,U,57093,999,13052,-.3721841E-3,-.523E-4,0
STARLINK-6235,2023-088AY,2025-10-27T11:24:34.960032,15.02530209,.00012156,43.0023,98.0683,278.6029,81.4675,0,U,57094,999,13048,-.1098209E-4,-.352E-5,0
STARLINK-6132,2023-090A,2025-10-27T00:48:57.137760,15.02531446,.0001288,43.0047,281.2821,274.1238,85.9457,0,U,57101,999,13030,.3454306E-5,-.157E-5,0
STARLINK-6111,2023-090B,2025-10-27T00:40:57.275616,15.02536845,.00011768,43.0058,281.2430,264.7135,95.3573,0,U,57102,999,13030,.8234656E-5,-.92E-6,0
STARLINK-6130,2023-090D,2025-10-27T00:44:08.874528,15.02537206,.00011803,43.0051,281.2600,264.5764,95.4944,0,U,57104,999,13030,.69392278E-4,.734E-5,0
STARLINK-6097,2023-090E,2025-10-27T05:26:32.661024,15.02535755,.0001224,43.0063,280.1509,266.0745,93.9957,0,U,57105,999,13033,.37122E-4,.298E-5,0
STARLINK-6118,2023-090F,2025-10-27T00:31:22.153152,15.02536920,.00010392,43.0031,281.1852,268.1998,91.8726,0,U,57106,999,13030,.45155787E-4,.406E-5,0
STARLINK-6131,2023-090G,2025-10-27T00:12:11.117664,15.02529101,.00012687,43.0056,281.0933,248.2884,111.7823,0,U,57107,999,13030,.13923336E-3,.1677E-4,0
STARLINK-6099,2023-090H,2025-10-27T05:21:44.561088,15.02536325,.000111,43.0046,280.1203,271.2136,88.8579,0,U,57108,999,13033,.75438E-4,.816E-5,0
STARLINK-6139,2023-090J,2025-10-27T05:07:21.656640,15.02535794,.00013178,43.0054,280.0504,264.3962,95.6730,0,U,57109,999,13033,.693299E-4,.733E-5,0
STARLINK-6134,2023-090K,2025-10-27T00:36:10.052640,15.02533627,.00010359,43.0029,281.2170,261.2218,98.8507,0,U,57110,999,13030,.42448666E-4,.37E-5,0
STARLINK-6140,2023-090L,2025-10-27T00:02:35.504448,15.02530931,.00012937,43.0040,281.0421,266.5083,93.5612,0,U,57111,999,13030,.18000757E-3,.2228E-4,0
STARLINK-6141,2023-090M,2025-10-27T05:13:45.302016,15.02534369,.00013294,43.0059,280.0834,265.3651,94.7040,0,U,57112,999,13033,.69110632E-4,.73E-5,0
STARLINK-6142,2023-090N,2025-10-27T00:10:34.993344,15.02536971,.00012849,43.0056,281.0838,266.8863,93.1832,0,U,57113,999,13030,.43633175E-4,.386E-5,0
STARLINK-6125,2023-090P,2025-10-27T00:05:47.531904,15.02534617,.00011069,43.0050,281.0567,268.7057,91.3659,0,U,57114,999,13030,.63742059E-4,.657E-5,0
STARLINK-6085,2023-090Q,2025-10-26T23:56:35.239776,15.07380606,.00083729,43.0013,278.4725,67.1574,293.0154,0,U,57115,999,13033,.17610969E-2,.27004E-3,0
STARLINK-6129,2023-090R,2025-10-27T05:02:33.515232,15.02544002,.00011858,43.0032,280.0233,269.9834,90.0873,0,U,57116,999,13033,.22286926E-4,.98E-6,0
STARLINK-6148,2023-090S,2025-10-27T07:51:38.253312,15.02544251,.00011024,43.0045,279.1840,265.3542,94.7175,0,U,57117,999,13034,.6935774E-4,.734E-5,0
STARLINK-6151,2023-090T,2025-10-27T12:53:47.592096,15.57111644,.00060767,42.9905,236.2491,200.6738,159.3879,0,U,57118,999,13087,.1020204E-2,.76383E-3,0
STARLINK-6150,2023-090U,2025-10-27T07:45:14.703840,15.02543535,.00012426,43.0052,279.1504,272.3547,87.7153,0,U,57119,999,13035,.970975E-4,.1108E-4,0
STARLINK-6147,2023-090V,2025-10-26T23:56:12.242688,15.02535269,.00012449,43.0052,281.0061,265.9901,94.0799,0,U,57120,999,13030,.75080987E-4,.811E-5,0
STARLINK-6152,2023-090W,2025-10-27T07:32:27.943584,15.02536074,.00011676,43.0049,279.0804,274.1545,85.9164,0,U,57121,999,13016,.79752297E-4,.874E-5,0
STARLINK-6149,2023-090X,2025-10-27T07:40:27.357312,15.02535968,.00011884,43.0050,279.1238,274.8733,85.1974,0,U,57122,999,13035,.44287872E-4,.395E-5,0
STARLINK-6154,2023-090Y,2025-10-27T09:03:24.010272,15.02533259,.00011934,43.0041,278.6954,269.6796,90.3910,0,U,57123,999,13017,.49536619E-4,.466E-5,0
STARLINK-6146,2023-090Z,2025-10-27T07:37:15.462912,15.02538242,.00011618,43.0051,279.1085,271.2421,88.8288,0,U,57124,999,13035,.77462065E-4,.843E-5,0
STARLINK-6100,2023-090AA,2025-10-27T07:07:25.945248,15.02535121,.0001107,43.0035,266.7913,268.6209,91.4507,0,U,57125,999,13030,.89651E-4,.1008E-4,0
STARLINK-6167,2023-090AB,2025-10-27T07:35:40.085952,15.02534499,.00012642,43.0053,279.0985,275.6156,84.4542,0,U,57126,999,13035,.79127355E-4,.865E-5,0
STARLINK-6165,2023-090AC,2025-10-27T07:21:16.511040,15.02538280,.0001253,43.0039,279.0190,269.8773,90.1925,0,U,57127,999,13016,.50473E-4,.478E-5,0
STARLINK-6163,2023-090AD,2025-10-27T21:52:25.162176,15.02538463,.00011526,43.0070,275.8236,271.5076,88.5635,0,U,57128,999,13025,.4216053E-4,.366E-5,0
STARLINK-6170,2023-090AE,2025-10-27T21:49:44.924736,15.02553145,.0001253,43.0044,263.6515,268.6498,91.4201,0,U,57129,999,13039,-.67076331E-4,-.111E-4,0
STARLINK-6172,2023-090AF,2025-10-27T07:22:53.215104,15.02522360,.0000998,43.0040,279.0310,261.8738,98.1991,0,U,57130,999,13016,-.22318E-3,-.3216E-4,0
STARLINK-6162,2023-090AG,2025-10-27T05:46:05.185056,15.02537019,.000129,43.0043,267.2292,264.0106,96.0590,0,U,57131,999,13029,.27047E-4,.162E-5,0
STARLINK-6128,2023-090AH,2025-10-27T00:50:22.360992,15.02538206,.00010962,43.0037,280.4255,266.7900,93.2817,0,U,57132,999,13012,.55270928E-4,.543E-5,0
STARLINK-6143,2023-090AJ,2025-10-27T07:02:38.361120,15.02536796,.0001022,43.0033,266.7687,270.8111,89.2615,0,U,57133,999,13030,.20961E-3,.2629E-4,0
STARLINK-6133,2023-090AK,2025-10-27T21:44:57.872832,15.02531162,.00008455,43.0052,263.6243,263.8768,96.1978,0,U,57134,999,13039,-.64896646E-4,-.108E-4,0
STARLINK-6127,2023-090AL,2025-10-27T06:48:15.524064,15.02531933,.0001096,43.0047,266.6925,272.1045,87.9672,0,U,57135,999,13030,-.13099E-4,-.38E-5,0
STARLINK-6112,2023-090AM,2025-10-27T07:18:37.363104,15.02536954,.0001199,43.0033,266.8492,274.6229,85.4476,0,U,57136,999,13032,-.205E-3,-.2972E-4,0
STARLINK-5347,2023-090AN,2025-10-27T06:59:26.234304,15.02549217,.0001294,43.0028,266.7497,275.6842,84.3853,0,U,57137,999,13030,-.15557E-3,-.2305E-4,0
STARLINK-5336,2023-090AP,2025-10-27T07:17:01.486752,15.02533062,.0001046,43.0031,266.8385,271.0437,89.0286,0,U,57138,999,13030,.18814E-4,.51E-6,0
STARLINK-5355,2023-090AQ,2025-10-27T21:14:35.986272,15.02536938,.00011677,43.0039,263.4616,271.5849,88.4860,0,U,57139,999,13039,.34249731E-4,.259E-5,0
STARLINK-5357,2023-090AS,2025-10-27T21:06:36.467136,15.02537904,.00011568,43.0046,263.4225,276.7028,83.3683,0,U,57141,999,13039,.61705073E-4,.63E-5,0
STARLINK-5361,2023-090AT,2025-10-27T08:14:23.494272,15.02534024,.00012233,43.0044,266.2744,266.2017,93.8685,0,U,57142,999,13031,-.32553359E-4,-.643E-5,0
STARLINK-5358,2023-090AU,2025-10-27T06:33:52.106400,15.02535961,.0001237,43.0047,266.6158,269.9445,90.1256,0,U,57143,999,13030,.97712E-4,.1117E-4,0
STARLINK-5150,2023-090AV,2025-10-27T06:49:50.921760,15.02537732,.0001242,43.0048,266.6980,267.6239,92.4461,0,U,57144,999,13030,.45644E-5,-.142E-5,0
STARLINK-5768,2023-090AW,2025-10-27T04:45:20.927232,15.02536853,.00011659,43.0046,266.9065,261.1668,98.9043,0,U,57145,999,13029,.46894046E-4,.43E-5,0
STARLINK-5791,2023-090AX,2025-10-27T04:54:56.562912,15.02533581,.00012936,43.0047,266.9580,267.3837,92.6858,0,U,57146,999,13029,.20191861E-4,.69E-6,0
STARLINK-5765,2023-090AY,2025-10-27T14:13:19.621344,15.02529717,.00012579,43.0041,264.7067,270.5856,89.4842,0,U,57147,999,13054,.12151085E-3,.1438E-4,0
STARLINK-5788,2023-090AZ,2025-10-27T14:03:44.228448,15.02535151,.0001276,43.0033,264.6543,270.4376,89.6320,0,U,57148,999,13035,.83701272E-4,.927E-5,0
STARLINK-5778,2023-090BA,2025-10-27T12:57:30.656160,15.02538112,.00012332,43.0041,239.1308,266.0020,94.0682,0,U,57149,999,13083,.88153145E-4,.987E-5,0
STARLINK-5780,2023-090BB,2025-10-27T04:50:08.739456,15.02537047,.00009121,43.0049,266.9329,268.2640,91.8098,0,U,57150,999,13048,.37888258E-4,.308E-5,0
STARLINK-5776,2023-090BC,2025-10-27T07:59:59.820864,15.02556354,.00011162,43.0034,266.2002,265.5983,94.4732,0,U,57151,999,13050,-.28588465E-3,-.4065E-4,0
STARLINK-6164,2023-090BD,2025-10-27T04:53:20.672736,15.02537357,.00012959,43.0061,266.9517,276.9577,83.1118,0,U,57152,999,13048,.21737622E-4,.9E-6,0
STARLINK-5879,2023-090BE,2025-10-27T13:25:55.184736,15.02533532,.00010554,43.0034,252.3052,272.5654,87.5067,0,U,57153,999,13018,.5032787E-4,.476E-5,0
STARLINK-6106,2023-090BF,2025-10-27T14:14:55.533120,15.02535726,.00010324,43.0042,264.7123,267.7994,92.2730,0,U,57154,999,13054,.66397862E-4,.693E-5,0
STARLINK-6108,2023-090BG,2025-10-27T07:31:14.075040,15.02535286,.00012837,43.0053,266.0524,262.4537,97.6160,0,U,57155,999,13050,.97628147E-4,.1115E-4,0
STARLINK-6137,2023-090BH,2025-10-27T21:57:34.634016,15.02541567,.00013087,43.0049,262.8258,268.4488,91.6204,0,U,57156,999,13059,.98620128E-4,.1129E-4,0
STARLINK-5525,2023-094A,2025-10-27T15:45:11.344320,15.02540468,.00011559,43.0046,33.5973,268.0465,92.0245,0,U,57218,999,12710,.86134726E-4,.96E-5,0
STARLINK-5520,2023-094B,2025-10-27T17:16:07.812768,15.02534979,.00012685,43.0050,33.2121,265.9728,94.0969,0,U,57219,999,12711,.41194939E-4,.353E-5,0
STARLINK-5880,2023-094C,2025-10-27T15:18:01.681344,15.02533421,.00013245,43.0048,33.4537,267.5119,92.5572,0,U,57220,999,12710,.59484805E-4,.6E-5,0
STARLINK-5875,2023-094D,2025-10-27T17:12:56.215584,15.02533452,.00012083,43.0046,33.1953,266.0453,94.0251,0,U,57221,999,12711,.78342457E-4,.855E-5,0
STARLINK-5870,2023-094E,2025-10-27T17:03:20.717280,15.02535282,.00013986,43.0047,33.1439,268.1666,91.9017,0,U,57222,999,12774,.78960043E-4,.863E-5,0
STARLINK-5519,2023-094F,2025-10-27T17:08:08.026656,15.02544830,.00008353,43.0038,33.1681,265.2113,94.8634,0,U,57223,999,12711,.79636016E-4,.873E-5,0
STARLINK-5983,2023-094G,2025-10-27T15:22:49.382112,15.02533541,.00014035,43.0045,33.4800,267.9725,92.0957,0,U,57224,999,12710,.30213574E-4,.204E-5,0
